date,tavg,tmin,tmax,prcp,wdir,wspd,pres,hum
10/13/2022,15.1,13.6,20.3,0,264,4.7,1014.1,66.5
10/14/2022,16,14.1,19.8,16.5,259,7,1013.4,71.5
10/15/2022,15.3,13.3,18,3.3,256,7.6,1012.9,76.5
10/16/2022,16,12,21.2,2,245,6.9,1014.6,54
10/17/2022,16.4,13.6,19.4,2.8,246,7.6,1016.2,71
10/18/2022,15.6,13.5,18,5.6,260,14.1,1015.6,77.5
10/19/2022,15.6,14.4,18.2,7.1,269,14.6,1015,81
10/20/2022,15.4,14.5,17,12.7,267,13.1,1014.9,87.5
10/21/2022,14.7,13.7,15.6,46.2,275,9.9,1015.5,90.5
10/22/2022,15.7,13.5,20.2,4.3,294,4.4,1015.9,66.5
10/23/2022,15.9,12.8,21,2,268,7.1,1015.9,59
10/24/2022,15.6,14.2,18,26.9,255,8.6,1015.3,81
10/25/2022,15.9,13.1,20.3,2.8,265,6.1,1015.3,64
10/26/2022,16.1,12.5,19.7,0.5,317,4.9,1016.2,64
10/27/2022,15.2,12.6,18.7,5.1,337,4.3,1015.6,69.5
10/28/2022,14.9,11.9,20.8,0,323,5.5,1013.9,55.5
10/29/2022,14.3,9.4,21,0,1,4.2,1013.6,42
10/30/2022,15.3,9.5,20,0,315,2.5,1013.7,47.5
10/31/2022,17,11.4,22.2,47.5,325,3.8,1013.1,46
11/1/2022,15.7,13.2,18.9,7.4,263,8.1,1014,71.5
11/2/2022,16,14,19.5,4.1,260,7.2,1014.7,72.5
11/3/2022,15.9,13.1,19.2,0,253,6.2,1014.4,69.5
11/4/2022,16.6,12.1,21.7,1,267,3.9,1015.3,52
11/5/2022,15.4,12.8,20.5,9.9,104,2.8,1016.1,61.5
11/6/2022,15.2,12.1,19.6,17.8,70,7.2,1016.6,62.5
11/7/2022,16.2,9.2,21,0,51,4.4,1015.9,41
11/8/2022,16.1,14.8,18.8,5.1,54,5.9,1015.3,80
11/9/2022,15.6,13.4,18.3,3,42,6.5,1014.9,75.5
11/10/2022,15.8,13.2,20.1,0.5,354,5.6,1014.5,65.5
11/11/2022,15.9,11,21.5,0,270,6.2,1013.7,47.5
11/12/2022,15.9,13.7,19.4,6.4,264,6.3,1014.7,71.5
11/13/2022,15.2,12.5,20.7,1.5,300,2.3,1015.2,59
11/14/2022,15.6,11.7,20.4,25.9,71,3.4,1015.8,56.5
11/15/2022,14.9,13.1,19.4,8.9,21,4,1016.1,68.5
11/16/2022,15.4,10.8,21.7,0.5,349,5,1015.1,45.5
11/17/2022,14.2,10.6,19.4,3.6,309,6.5,1014.5,56
11/18/2022,14.8,9,22.9,0,304,5.6,1014,30.5
11/19/2022,14.6,9.6,20.2,0,311,4.9,1014.1,47
11/20/2022,15.3,10.4,20.9,0,273,4.6,1013,47.5
11/21/2022,15.3,12,19,0,258,7.5,1013.4,65
11/22/2022,16.8,13.3,21.2,0,258,6.7,1013.8,60.5
11/23/2022,15.3,10.5,19,0,251,8.8,1015.1,57.5
11/24/2022,14.8,10.9,18.8,0,264,7.6,1015.3,60.5
11/25/2022,14.9,8.5,20.9,0,308,4.6,1015.7,38
11/26/2022,16.4,11.5,20.3,0,315,3.9,1014.9,56
11/27/2022,15.7,13.5,19.9,0,311,3.7,1013.4,68
11/28/2022,15.2,12.8,21,0.8,344,3.4,1013.9,59
11/29/2022,15.4,13.1,21.1,0,5,3.8,1014.6,60
11/30/2022,15.6,12.4,21.8,0,82,4.5,1014.6,53
12/1/2022,15.6,11.8,21.2,0,119,5.9,1014.7,53
12/2/2022,15.7,11.4,19.9,0,98,5,1014.1,57.5
12/3/2022,16,14.1,19.9,6.9,94,5.7,1014.2,71
12/4/2022,15.4,13.5,19,3.8,91,5.9,1014.9,72.5
12/5/2022,15.3,12.5,20.4,10.7,68,5.7,1015.3,60.5
12/6/2022,14.6,13.1,19.1,3.8,339,4,1014.2,70
12/7/2022,14.5,11.6,17.5,0,284,8.1,1012.8,70.5
12/8/2022,10.5,11.9,13.2,0,274,20.5,1011.1,93.5
12/9/2022,13.6,8.1,15.2,18.5,264,20.1,1010.9,64.5
12/10/2022,13.8,12.2,15.1,3.3,252,12.3,1012.5,85.5
12/11/2022,13.9,11.2,17.9,1.5,252,11.2,1014.2,66.5
12/12/2022,14.4,10.6,18.4,0,266,6.1,1014.5,61
12/13/2022,14.1,9.8,19.6,0,302,3.8,1015.1,51
12/14/2022,14.3,9,20,0,75,4.7,1015.3,45
12/15/2022,14.3,9.8,20.5,0,85,4.4,1014.5,46.5
12/16/2022,15.6,7.7,18.9,0,41,5.2,1013.5,44
12/17/2022,13.9,11.9,16.8,6.4,45,7.5,1013.9,75.5
12/18/2022,14.3,12.5,15.5,7.9,53,11.8,1012.9,85
12/19/2022,15,13.8,16.1,19.1,71,9.8,1011.9,88.5
12/20/2022,14.8,13.8,17,6.1,56,11.2,1012.1,84
12/21/2022,15.1,13.6,18.3,16.3,39,7.7,1012.3,76.5
12/22/2022,15.6,11.5,20.8,3,343,4.3,1012.5,53.5
12/23/2022,15.2,11.5,19.8,4.8,325,6.1,1012.4,58.5
12/24/2022,15.3,11.7,16.9,2,302,6.1,1013.2,74
12/25/2022,14.4,14.3,18.2,32,291,7.1,1012.7,80.5
12/26/2022,15.6,11.6,20.8,9.9,165,5.3,1014.8,54
12/27/2022,15.9,12.5,19.5,1.3,115,6.5,1017.1,65
12/28/2022,15.9,13.5,20.3,0,101,7.5,1018.5,66
12/29/2022,13.7,11.5,19.2,0,83,9.1,1019.9,61.5
12/30/2022,12.8,5.4,20.2,0,99,5.4,1020.4,26
12/31/2022,12.5,9.1,18.8,0,69,6.1,1019.9,51.5
1/1/2023,12.8,5.5,21.3,0,51,5.2,1018.8,21
1/2/2023,13.2,6,19.8,0,68,6.3,1018.6,31
1/3/2023,13.6,8.4,19.8,0,53,6.5,1018.4,43
1/4/2023,14.4,8.9,20.3,0,42,5.5,1017.6,43
1/5/2023,14.8,11.2,19.4,0,66,7.6,1017.2,59
1/6/2023,15.1,13.6,17.6,3.3,68,7.4,1017.7,80
1/7/2023,14.5,13.1,17.9,4.3,62,10,1017.2,76
1/8/2023,14.3,12.6,17.2,18.8,60,10.1,1017.2,77
1/9/2023,14.3,12.3,17.5,0,75,6.3,1018.1,74
1/10/2023,13.8,8.5,17.9,1.8,120,3.5,1017.1,53
1/11/2023,13.3,6,20.6,0,110,7.1,1015.3,27
1/12/2023,12.6,7.5,20,0,92,7.1,1015,37.5
1/13/2023,15.2,7.2,22.2,0,135,6.7,1015.3,25
1/14/2023,15.1,11.6,18.3,0,129,6.3,1015.4,66.5
1/15/2023,15.1,9.7,21.1,0,92,6.1,1015,43
1/16/2023,15.8,11.6,21,0,108,6.7,1015.5,53
1/17/2023,14.9,13.2,18.9,10.9,95,8.3,1016.4,71.5
1/18/2023,13.8,11.2,19.6,5.1,90,11.5,1017.2,58
1/19/2023,13.7,10.1,19.2,0,65,15.7,1017.4,54.5
1/20/2023,13.8,8.4,19.3,0,67,13,1017.1,45.5
1/21/2023,14.1,12.1,14.7,0,54,14.5,1015.8,87
1/22/2023,15.1,13.7,17.6,4.8,68,13.9,1015.3,80.5
1/23/2023,14.9,13.4,16.4,0,96,12.1,1014.7,85
1/24/2023,14.8,13.1,18.4,1.3,81,9.7,1014.9,73.5
1/25/2023,15.1,10.3,21.4,2.3,97,8.1,1014.7,44.5
1/26/2023,14.9,9.6,21.7,0,105,6.9,1014.8,39.5
1/27/2023,13.8,11.1,18.2,0,70,8.2,1014.8,64.5
1/28/2023,14.1,11.8,21,0,17,10.6,1013.8,54
1/29/2023,13.8,9,19.8,0,46,9,1013.2,46
1/30/2023,14.9,9.5,18.4,0,57,9.2,1013.9,55.5
